category,label,description,examples,source,keywords,is_active,is_global,tenant_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"psychosocial","Charge de travail","Surcharge ou sous-charge de travail","Délais serrés, pics d'activité, monotonie","INRS","[""charge"",""stress"",""surcharge"",""cadence""]","true","true","","695cef1fe682c877aa58fb30","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"psychosocial","Exigences émotionnelles","Contact avec le public, gestion de situations difficiles","Accueil clients, réclamations, soins","INRS","[""émotion"",""public"",""client"",""stress""]","true","true","","695cef1fe682c877aa58fb31","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"psychosocial","Violences et agressions","Risque d'agression verbale ou physique","Accueil, commerce, transport de fonds","INRS","[""violence"",""agression"",""incivilité"",""hold-up""]","true","true","","695cef1fe682c877aa58fb32","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"psychosocial","Harcèlement","Harcèlement moral ou sexuel au travail","Relations hiérarchiques, ambiance de travail","INRS","[""harcèlement"",""moral"",""sexuel"",""discrimination""]","true","true","","695cef1fe682c877aa58fb33","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"psychosocial","Manque d'autonomie","Faible marge de manœuvre dans l'organisation du travail","Procédures rigides, contrôle excessif","INRS","[""autonomie"",""contrôle"",""latitude"",""décision""]","true","true","","695cef1fe682c877aa58fb34","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Bruit","Exposition au bruit pouvant entraîner des lésions auditives","Machines bruyantes, outils pneumatiques, environnement industriel","INRS","[""bruit"",""surdité"",""audition"",""décibels""]","true","true","","695cef1fe682c877aa58fb0d","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Vibrations mécaniques","Exposition aux vibrations transmises aux mains/bras ou au corps entier","Marteau-piqueur, meuleuse, conduite d'engins","INRS","[""vibrations"",""TMS"",""engins"",""outils""]","true","true","","695cef1fe682c877aa58fb0e","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Ambiances thermiques","Travail en ambiance chaude ou froide","Chambres froides, fonderie, travail extérieur","INRS","[""chaleur"",""froid"",""température"",""canicule""]","true","true","","695cef1fe682c877aa58fb0f","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Éclairage inadapté","Éclairage insuffisant ou éblouissant","Zones sombres, reflets sur écrans, travail de précision","INRS","[""éclairage"",""vision"",""luminosité"",""fatigue visuelle""]","true","true","","695cef1fe682c877aa58fb10","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Rayonnements ionisants","Exposition aux rayonnements radioactifs","Radiologie, industrie nucléaire, contrôle non destructif","INRS","[""rayonnements"",""radioactivité"",""X"",""gamma""]","true","true","","695cef1fe682c877aa58fb11","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Rayonnements non ionisants","Exposition aux UV, infrarouges, lasers, ondes électromagnétiques","Soudage, lampes UV, antennes relais","INRS","[""UV"",""laser"",""ondes"",""électromagnétique""]","true","true","","695cef1fe682c877aa58fb12","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Travail sur écran","Fatigue visuelle et posturale liée au travail sur écran","Poste informatique, bureau, télétravail","INRS","[""écran"",""ordinateur"",""VDT"",""fatigue visuelle""]","true","true","","695cef1fe682c877aa58fb13","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","TMS - Gestes répétitifs","Troubles musculo-squelettiques liés aux gestes répétitifs","Travail à la chaîne, saisie, conditionnement","INRS","[""TMS"",""répétitif"",""tendinite"",""canal carpien""]","true","true","","695cef1fe682c877aa58fb14","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","TMS - Postures contraignantes","Postures de travail pénibles ou maintenues","Travail accroupi, bras en l'air, dos courbé","INRS","[""posture"",""TMS"",""ergonomie"",""lombalgies""]","true","true","","695cef1fe682c877aa58fb15","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"physique","Manutention manuelle","Port et déplacement de charges","Cartons, colis, patients, matériaux","INRS","[""manutention"",""port de charges"",""dos"",""lombalgie""]","true","true","","695cef1fe682c877aa58fb16","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"machines","Manutention mécanique","Utilisation d'engins de levage et de manutention","Chariot élévateur, grue, transpalette","INRS","[""chariot"",""grue"",""levage"",""CACES""]","true","true","","695cef1fe682c877aa58fb17","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"machines","Machines et équipements","Risques liés à l'utilisation de machines","Presse, tour, fraiseuse, scie","INRS","[""machine"",""équipement"",""outil"",""coupure""]","true","true","","695cef1fe682c877aa58fb18","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"machines","Outils à main","Risques liés aux outils manuels","Couteaux, tournevis, marteaux","INRS","[""outils"",""coupure"",""choc"",""main""]","true","true","","695cef1fe682c877aa58fb19","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"machines","Outils électroportatifs","Utilisation d'outils électriques portatifs","Perceuse, meuleuse, scie sauteuse","INRS","[""électroportatif"",""perceuse"",""meuleuse"",""disqueuse""]","true","true","","695cef1fe682c877aa58fb1a","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"deplacements","Travail en hauteur","Risque de chute de hauteur","Échelles, échafaudages, toitures, nacelles","INRS","[""hauteur"",""chute"",""échelle"",""échafaudage""]","true","true","","695cef1fe682c877aa58fb1b","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"deplacements","Chute de plain-pied","Glissade, trébuchement, faux pas","Sol mouillé, encombrement, câbles, escaliers","INRS","[""chute"",""glissade"",""sol"",""trébuchement""]","true","true","","695cef1fe682c877aa58fb1c","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"deplacements","Circulation interne","Circulation de personnes et véhicules dans l'entreprise","Croisement piétons/engins, zones de stockage","INRS","[""circulation"",""piéton"",""véhicule"",""collision""]","true","true","","695cef1fe682c877aa58fb1d","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"deplacements","Risque routier","Déplacements professionnels en véhicule","Trajets clients, livraisons, missions","INRS","[""route"",""voiture"",""accident"",""trajet""]","true","true","","695cef1fe682c877aa58fb1e","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"deplacements","Déplacements à pied","Déplacements piétons sur sites extérieurs","Chantiers, visites clients, zones publiques","INRS","[""déplacement"",""piéton"",""extérieur"",""terrain""]","true","true","","695cef1fe682c877aa58fb1f","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"environnement","Électricité","Risque électrique par contact ou arc électrique","Armoires électriques, câbles dénudés, interventions","INRS","[""électricité"",""électrocution"",""habilitation"",""contact""]","true","true","","695cef1fe682c877aa58fb20","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"environnement","Incendie","Risque d'incendie et d'explosion","Stockage de produits inflammables, travaux par points chauds","INRS","[""incendie"",""feu"",""inflammable"",""extincteur""]","true","true","","695cef1fe682c877aa58fb21","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"environnement","ATEX - Atmosphères explosives","Risque d'explosion en présence de gaz, vapeurs ou poussières","Silos, stations-service, cabines de peinture","INRS","[""ATEX"",""explosion"",""gaz"",""poussières""]","true","true","","695cef1fe682c877aa58fb22","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"environnement","Chute d'objets","Risque d'être heurté par des objets en hauteur","Stockage en hauteur, chantiers, racks","INRS","[""chute"",""objet"",""stockage"",""heurt""]","true","true","","695cef1fe682c877aa58fb23","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"environnement","Effondrement","Risque d'effondrement de structures ou de terrain","Fouilles, tranchées, bâtiments vétustes","INRS","[""effondrement"",""éboulement"",""fouille"",""tranchée""]","true","true","","695cef1fe682c877aa58fb24","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"chimique","Produits chimiques dangereux","Manipulation de substances chimiques dangereuses","Solvants, acides, bases, peintures","INRS","[""chimique"",""CMR"",""toxique"",""corrosif""]","true","true","","695cef1fe682c877aa58fb25","2026-01-06T11:16:47.078000","2026-01-06T11:16:47.078000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
